spec,family,rp,out,preproc,extractor,params,spec_sim,codec,task,seed,dim,F,C,epochs,sim,weight,multi,proto_bits,quant_train,val_acc,id_acc,margin_id,geom_fid,fit_s,mem_kb,vec_bits,ops_per_query,ext_bits,ext_ops,rp_density,rp_rank,proj,acc_shift_6,margin_ood,acc_shift_12,acc_shift_18,nmi,ari,auroc
signrff|bipolar,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,bipolar,fine,1,256,64,30,30,cosine,uniform,1,32,0,0.3933333456516266,0.3840000033378601,-0.07542364299297333,0.4997952546283184,0.024,95.0,1.0,24576,0,0,,,signrff,,,,,,,
fpe_b1|fp32,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,fp32,fine,1,256,64,30,30,cosine,uniform,1,32,0,0.12083333730697632,0.11733333021402359,-0.021379221230745316,0.0003757380213265686,0.025,94.03,1.0,24320,0,0,,,fpe_b1,,,,,,,
fpe_b1|int4,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,int4,fine,1,256,64,30,30,cosine,uniform,1,32,0,0.12083333730697632,0.11733333021402359,-0.021379221230745316,0.0003757380213265686,0.025,94.03,4.0,24576,0,0,,,fpe_b1,,,,,,,
fpe_b1|ternary,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,ternary,fine,1,256,64,30,30,cosine,uniform,1,32,0,0.12083333730697632,0.11733333021402359,-0.021379221230745316,0.0003757380213265686,0.026,94.03,2.0,24576,0,0,,,fpe_b1,,,,,,,
fpe_b1|bipolar,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,bipolar,fine,1,256,64,30,30,cosine,uniform,1,32,0,0.12083333730697632,0.11733333021402359,-0.021379221230745316,0.0003757380213265686,0.025,94.03,1.0,24576,0,0,,,fpe_b1,,,,,,,
learned|fp32,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,fp32,fine,1,256,64,30,30,cosine,uniform,1,32,0,0.7008333206176758,0.7160000205039978,0.07920211553573608,0.6402833458649343,0.306,94.5,1.0,24448,0,0,,,learned,,,,,,,
learned|int4,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,int4,fine,1,256,64,30,30,cosine,uniform,1,32,0,0.7008333206176758,0.7160000205039978,0.07920211553573608,0.6402833458649343,0.283,94.5,4.0,24704,0,0,,,learned,,,,,,,
learned|ternary,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,ternary,fine,1,256,64,30,30,cosine,uniform,1,32,0,0.7008333206176758,0.7160000205039978,0.07920211553573608,0.6402833458649343,0.258,94.5,2.0,24704,0,0,,,learned,,,,,,,
learned|bipolar,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,bipolar,fine,1,256,64,30,30,cosine,uniform,1,32,0,0.7008333206176758,0.7160000205039978,0.07920211553573608,0.6402833458649343,0.265,94.5,1.0,24704,0,0,,,learned,,,,,,,
gauss|fp32,linear,gaussian,bipolar,none,raw,,,fp32,fine,1,1024,64,30,30,cosine,uniform,1,32,0,0.6866666674613953,0.6893333196640015,0.039852213114500046,0.9336790201664159,0.008,376.0,1.0,97280,0,0,1.0,64.0,gauss,,,,,,,
