spec,family,rp,out,preproc,extractor,params,spec_sim,codec,task,seed,dim,F,C,epochs,sim,weight,multi,proto_bits,quant_train,val_acc,id_acc,margin_id,geom_fid,fit_s,acc_noise_0.1,acc_noise_0.25,acc_noise_0.5,acc_noise_0.75,acc_noise_1,acc_noise_1.5,acc_drop_0.1,acc_drop_0.3,acc_drop_0.5,acc_flip_0.01,acc_flip_0.02,acc_flip_0.05,acc_flip_0.1,acc_flip_0.2,acc_flip_0.4,mem_kb,vec_bits,ops_per_query,ext_bits,ext_ops,rp_density,rp_rank,acc_shift_6,margin_ood,acc_shift_12,acc_shift_18
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.9953333139419556,0.26095497608184814,0.9833279501125005,0.061,0.9959999918937683,0.9933333396911621,0.984666645526886,0.9673333168029785,0.9319999814033508,0.7933333516120911,0.9940000176429749,0.9639999866485596,0.8880000114440918,0.9953333139419556,0.9946666359901428,0.9946666359901428,0.9959999918937683,0.996666669845581,0.9526666402816772,1504.0,1.0,389120,0,0,,,,,,
cauchy_l1,linear,cauchy,real,none,raw,,l1,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9891666769981384,0.9926666617393494,0.0029306113719940186,0.9297032437431655,0.017,0.9906666278839111,0.9853333234786987,0.9760000109672546,0.9519999623298645,0.903333306312561,0.7553333044052124,0.9839999675750732,0.9419999718666077,0.8486666679382324,0.9913333058357239,0.9913333058357239,0.9913333058357239,0.9913333058357239,0.9866666793823242,0.9153333306312561,1504.0,1.0,389120,0,0,1.0,64.0,,,,
gaussian_l1,linear,gaussian,real,none,raw,,l1,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9950000047683716,0.9946666359901428,0.0030531571246683598,0.9832167550986861,0.016,0.9946666359901428,0.9933333396911621,0.9819999933242798,0.9653333425521851,0.9226666688919067,0.7860000133514404,0.9919999837875366,0.9599999785423279,0.8806666731834412,0.9953333139419556,0.9959999918937683,0.9953333139419556,0.9959999918937683,0.9940000176429749,0.9453333020210266,1504.0,1.0,389120,0,0,1.0,64.0,,,,
nystrom_gauss,nystrom,nystrom,bipolar,none,raw,"{""kernel"": ""gaussian""}",,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9241666793823242,0.9273332953453064,0.036697763949632645,0.46333262754737453,0.229,0.9200000166893005,0.909333348274231,0.8686666488647461,0.8013333082199097,0.7113333344459534,0.5113333463668823,0.8859999775886536,0.7826666831970215,0.653333306312561,0.918666660785675,0.9113333225250244,0.8920000195503235,0.8413333296775818,0.7133333086967468,0.18733333051204681,132576.0,1.0,17162240,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,1,4096,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.996666669845581,0.2578774392604828,0.9828754963327289,0.016,0.9973333477973938,0.9953333139419556,0.9900000095367432,0.968666672706604,0.9413332939147949,0.8133333325386047,0.9906666278839111,0.9666666388511658,0.8779999613761902,0.9959999918937683,0.9959999918937683,0.9959999918937683,0.9953333139419556,0.996666669845581,0.9480000138282776,1504.0,1.0,389120,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,linear,1,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9959999918937683,0.2580358386039734,0.9826778147136952,0.015,0.9959999918937683,0.9946666359901428,0.9826666712760925,0.9693333506584167,0.9300000071525574,0.8006666302680969,0.9879999756813049,0.9653333425521851,0.8746666312217712,0.9959999918937683,0.9959999918937683,0.9946666359901428,0.9946666359901428,0.9946666359901428,0.9580000042915344,1504.0,1.0,389120,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,linear,1,4096,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9953333139419556,0.25756338238716125,0.9811936104573347,0.014,0.9946666359901428,0.9940000176429749,0.9860000014305115,0.9666666388511658,0.9366666674613953,0.7986666560173035,0.9873332977294922,0.9653333425521851,0.8673333525657654,0.9953333139419556,0.9940000176429749,0.9933333396911621,0.9926666617393494,0.9933333396911621,0.9513333439826965,608.57,1.0,159891,0,0,0.1256,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,linear,1,4096,64,30,30,cosine,uniform,1,32,0,0.9641667008399963,0.9519999623298645,0.0014585262397304177,0.6573283561120802,0.014,0.9473333358764648,0.9413332939147949,0.9126666784286499,0.8613333106040955,0.7886666655540466,0.5966666340827942,0.9020000100135803,0.7199999690055847,0.4573333263397217,0.05133333429694176,0.06199999898672104,0.046666666865348816,0.1106666624546051,0.03333333134651184,0.03333333134651184,480.25,1.0,127040,0,0,0.0002,63.0,,,,
srht,linear,srht,bipolar,none,raw,,,,linear,1,4096,64,30,30,cosine,uniform,1,32,0,0.9458333849906921,0.95333331823349,0.20478059351444244,0.6619018012210589,0.016,0.949999988079071,0.9399999976158142,0.9133332967758179,0.8646666407585144,0.7886666655540466,0.5886666774749756,0.9279999732971191,0.8493333458900452,0.6940000057220459,0.9519999623298645,0.9526666402816772,0.9513333439826965,0.9526666402816772,0.9473333358764648,0.8686666488647461,1504.0,1.0,389120,0,0,1.0,64.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,linear,1,4096,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.9959999918937683,0.2606654763221741,0.9896495241316333,0.026,0.9959999918937683,0.9946666359901428,0.9873332977294922,0.9693333506584167,0.940666675567627,0.812666654586792,0.9893333315849304,0.9673333168029785,0.8793333172798157,0.9953333139419556,0.9953333139419556,0.9953333139419556,0.9940000176429749,0.9926666617393494,0.949999988079071,1504.0,1.0,389120,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,linear,1,4096,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.996666669845581,0.25925764441490173,0.9889263337237966,0.02,0.996666669845581,0.9946666359901428,0.9866666793823242,0.9713333249092102,0.9413332939147949,0.8159999847412109,0.9886666536331177,0.9673333168029785,0.8840000033378601,0.996666669845581,0.996666669845581,0.9973333477973938,0.9979999661445618,0.9946666359901428,0.9426666498184204,1504.0,1.0,389120,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,linear,1,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.996666669845581,0.14933224022388458,0.6197166665200514,0.039,0.996666669845581,0.9946666359901428,0.9886666536331177,0.9646666646003723,0.8933333158493042,0.4426666498184204,0.9893333315849304,0.9666666388511658,0.8306666612625122,0.996666669845581,0.996666669845581,0.9946666359901428,0.9946666359901428,0.9906666278839111,0.7406666874885559,1520.0,32.0,389120,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,linear,1,4096,64,30,30,cosine,uniform,1,32,0,0.9916666746139526,0.9833333492279053,0.0774909034371376,0.0336724813171082,0.032,0.984666645526886,0.9800000190734863,0.9673333168029785,0.9213333129882812,0.7913333177566528,0.3186666667461395,0.9633333086967468,0.812666654586792,0.4273333251476288,0.9819999933242798,0.9760000109672546,0.9753333330154419,0.9673333168029785,0.9160000085830688,0.3246666491031647,1504.5,1.0,389120,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,linear,1,4096,64,30,30,cosine,uniform,1,32,0,1.0,0.9973333477973938,0.42735740542411804,0.7323176411232912,0.318,0.9973333477973938,0.9959999918937683,0.9893333315849304,0.9746666550636292,0.9359999895095825,0.7873333096504211,0.9933333396911621,0.9679999947547913,0.8586666584014893,0.9973333477973938,0.9979999661445618,0.9979999661445618,0.9979999661445618,0.9973333477973938,0.9866666793823242,1504.5,1.0,389248,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,linear,1,4096,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9946666359901428,0.2580004930496216,0.9827209399061916,0.061,0.9959999918937683,0.9946666359901428,0.9866666793823242,0.9699999690055847,0.9353333115577698,0.8086666464805603,0.9893333315849304,0.9653333425521851,0.8793333172798157,0.9953333139419556,0.9933333396911621,0.9933333396911621,0.9946666359901428,0.9940000176429749,0.9559999704360962,1504.0,1.0,389120,0,0,,,,,,
cauchy_l1,linear,cauchy,real,none,raw,,l1,,linear,1,4096,64,30,30,cosine,uniform,1,32,0,0.9941666722297668,0.9900000095367432,0.002936507575213909,0.9268365124092256,0.017,0.9919999837875366,0.9906666278839111,0.9793333411216736,0.9580000042915344,0.9193333387374878,0.7666666507720947,0.9866666793823242,0.9539999961853027,0.8573333024978638,0.9900000095367432,0.9900000095367432,0.9919999837875366,0.9919999837875366,0.9873332977294922,0.9253333210945129,1504.0,1.0,389120,0,0,1.0,64.0,,,,
gaussian_l1,linear,gaussian,real,none,raw,,l1,,linear,1,4096,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.996666669845581,0.0030338536016643047,0.9828754963327289,0.015,0.9973333477973938,0.9953333139419556,0.9873332977294922,0.9666666388511658,0.9366666674613953,0.8159999847412109,0.9879999756813049,0.9653333425521851,0.8786666393280029,0.996666669845581,0.996666669845581,0.996666669845581,0.9953333139419556,0.9953333139419556,0.940666675567627,1504.0,1.0,389120,0,0,1.0,64.0,,,,
nystrom_gauss,nystrom,nystrom,bipolar,none,raw,"{""kernel"": ""gaussian""}",,,linear,1,4096,64,30,30,cosine,uniform,1,32,0,0.9008333683013916,0.9126666784286499,0.03600157052278519,0.4617824678941833,0.209,0.9113333225250244,0.8973333239555359,0.8726666569709778,0.8073333501815796,0.7133333086967468,0.5266666412353516,0.8773333430290222,0.7773333191871643,0.5973333120346069,0.9079999923706055,0.9020000100135803,0.8819999694824219,0.8546666502952576,0.7193333506584167,0.21799999475479126,132576.0,1.0,17162240,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9973333477973938,0.25736841559410095,0.982928383725162,0.016,0.9973333477973938,0.9946666359901428,0.9886666536331177,0.9713333249092102,0.9300000071525574,0.797333300113678,0.9933333396911621,0.9679999947547913,0.8866666555404663,0.9973333477973938,0.9973333477973938,0.9973333477973938,0.996666669845581,0.9959999918937683,0.9440000057220459,1504.0,1.0,389120,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9973333477973938,0.2560971975326538,0.9824883008959844,0.015,0.996666669845581,0.9953333139419556,0.9866666793823242,0.9646666646003723,0.9286666512489319,0.8019999861717224,0.9946666359901428,0.9679999947547913,0.8833333253860474,0.996666669845581,0.996666669845581,0.996666669845581,0.996666669845581,0.996666669845581,0.9559999704360962,1504.0,1.0,389120,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9973333477973938,0.25694912672042847,0.9808233827714359,0.014,0.9973333477973938,0.9940000176429749,0.9879999756813049,0.9693333506584167,0.9319999814033508,0.8053333163261414,0.9940000176429749,0.968666672706604,0.8786666393280029,0.9973333477973938,0.996666669845581,0.996666669845581,0.9973333477973938,0.996666669845581,0.9573333263397217,607.18,1.0,159534,0,0,0.1242,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9616667032241821,0.9693333506584167,0.001509458408690989,0.6670415024933187,0.014,0.9613333344459534,0.949999988079071,0.9206666350364685,0.8673333525657654,0.7886666655540466,0.6166666746139526,0.9053333401679993,0.7106666564941406,0.4699999988079071,0.11133333295583725,0.0793333351612091,0.11999999731779099,0.10266666859388351,0.06066666543483734,0.03333333134651184,480.25,1.0,127040,0,0,0.0002,64.0,,,,
srht,linear,srht,bipolar,none,raw,,,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9516667127609253,0.9593333005905151,0.20305880904197693,0.6594738552557546,0.015,0.9526666402816772,0.9440000057220459,0.9079999923706055,0.8579999804496765,0.7826666831970215,0.6153333187103271,0.9419999718666077,0.8560000061988831,0.690666675567627,0.9593333005905151,0.9586666822433472,0.9586666822433472,0.9599999785423279,0.9519999623298645,0.8653333187103271,1504.0,1.0,389120,0,0,1.0,64.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.9979999661445618,0.2580113708972931,0.9896958529894296,0.026,0.9973333477973938,0.9953333139419556,0.9893333315849304,0.9693333506584167,0.9293333292007446,0.8086666464805603,0.9953333139419556,0.972000002861023,0.887333333492279,0.9979999661445618,0.9979999661445618,0.9979999661445618,0.9979999661445618,0.996666669845581,0.9580000042915344,1504.0,1.0,389120,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9973333477973938,0.2570946514606476,0.989014097612927,0.021,0.996666669845581,0.9959999918937683,0.9893333315849304,0.9713333249092102,0.9319999814033508,0.8026666641235352,0.9933333396911621,0.9699999690055847,0.8926666378974915,0.9973333477973938,0.9973333477973938,0.9973333477973938,0.9973333477973938,0.9940000176429749,0.9493333101272583,1504.0,1.0,389120,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.9946666359901428,0.147195965051651,0.6186398573425952,0.037,0.9946666359901428,0.9933333396911621,0.9853333234786987,0.9559999704360962,0.8933333158493042,0.44066667556762695,0.9906666278839111,0.9586666822433472,0.8519999980926514,0.9953333139419556,0.9946666359901428,0.9946666359901428,0.9933333396911621,0.9879999756813049,0.7206666469573975,1520.0,32.0,389120,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9900000095367432,0.9900000095367432,0.07885070145130157,0.04926025194323552,0.037,0.9879999756813049,0.9839999675750732,0.965999960899353,0.9146666526794434,0.7986666560173035,0.3173333406448364,0.9733332991600037,0.8553333282470703,0.5133333206176758,0.9900000095367432,0.9893333315849304,0.9893333315849304,0.9779999852180481,0.9120000004768372,0.3100000023841858,1504.5,1.0,389120,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.996666669845581,0.41594767570495605,0.7312956203827194,0.278,0.9946666359901428,0.9940000176429749,0.9873332977294922,0.9693333506584167,0.9253333210945129,0.7806666493415833,0.9913333058357239,0.9713333249092102,0.871999979019165,0.996666669845581,0.996666669845581,0.9973333477973938,0.996666669845581,0.996666669845581,0.9926666617393494,1504.5,1.0,389248,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9973333477973938,0.258340448141098,0.9834387206286146,0.075,0.9959999918937683,0.9953333139419556,0.9873332977294922,0.968666672706604,0.937333345413208,0.800000011920929,0.9940000176429749,0.9613333344459534,0.8846666812896729,0.996666669845581,0.996666669845581,0.996666669845581,0.9973333477973938,0.9940000176429749,0.949999988079071,1504.0,1.0,389120,0,0,,,,,,
cauchy_l1,linear,cauchy,real,none,raw,,l1,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9891666769981384,0.9953333139419556,0.002893193857744336,0.9261967441203199,0.017,0.9959999918937683,0.9919999837875366,0.9753333330154419,0.9493333101272583,0.909333348274231,0.7699999809265137,0.9879999756813049,0.9480000138282776,0.8553333282470703,0.9959999918937683,0.9959999918937683,0.9953333139419556,0.9959999918937683,0.9913333058357239,0.9206666350364685,1504.0,1.0,389120,0,0,1.0,64.0,,,,
gaussian_l1,linear,gaussian,real,none,raw,,l1,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9973333477973938,0.0030231077689677477,0.982928383725162,0.019,0.9959999918937683,0.9933333396911621,0.9879999756813049,0.9699999690055847,0.9319999814033508,0.7953333258628845,0.9919999837875366,0.9653333425521851,0.8840000033378601,0.9973333477973938,0.9973333477973938,0.996666669845581,0.996666669845581,0.9946666359901428,0.9306666851043701,1504.0,1.0,389120,0,0,1.0,64.0,,,,
nystrom_gauss,nystrom,nystrom,bipolar,none,raw,"{""kernel"": ""gaussian""}",,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9333333373069763,0.9133332967758179,0.03667815029621124,0.4774874637473147,0.21,0.9113333225250244,0.90666663646698,0.8733333349227905,0.8153333067893982,0.7353333234786987,0.5513333082199097,0.887333333492279,0.7993333339691162,0.6326666474342346,0.9120000004768372,0.9146666526794434,0.9026666283607483,0.8586666584014893,0.7099999785423279,0.1459999978542328,132576.0,1.0,17162240,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7233333587646484,0.7133333086967468,0.04650498926639557,0.9832824817403812,0.017,0.7160000205039978,0.687999963760376,0.609333336353302,0.5326666831970215,0.4386666715145111,0.3019999861717224,0.6706666350364685,0.550000011920929,0.4259999990463257,0.7093333005905151,0.7126666307449341,0.7133333086967468,0.7006666660308838,0.687333345413208,0.44866666197776794,1504.0,1.0,389120,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7175000309944153,0.7160000205039978,0.04504237696528435,0.9827790738197664,0.016,0.7080000042915344,0.6913333535194397,0.6133333444595337,0.5173333287239075,0.4373333156108856,0.30266666412353516,0.6599999666213989,0.5479999780654907,0.41866666078567505,0.7153333425521851,0.7093333005905151,0.7099999785423279,0.699999988079071,0.6853333115577698,0.4699999988079071,1504.0,1.0,389120,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7166666984558105,0.7026666402816772,0.04461946710944176,0.9817721777158964,0.018,0.7006666660308838,0.6746666431427002,0.5920000076293945,0.512666642665863,0.43199998140335083,0.30666667222976685,0.6426666378974915,0.5426666736602783,0.41466665267944336,0.7026666402816772,0.7020000219345093,0.6980000138282776,0.6866666674613953,0.6753333210945129,0.4359999895095825,609.3,1.0,160077,0,0,0.1263,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.4000000059604645,0.43533334136009216,-0.000134721165522933,0.6609481706584969,0.025,0.4373333156108856,0.41333332657814026,0.3499999940395355,0.30533331632614136,0.2593333423137665,0.20533333718776703,0.37066665291786194,0.2553333342075348,0.15933333337306976,0.06133333221077919,0.03333333134651184,0.06066666543483734,0.03333333134651184,0.06066666543483734,0.03333333134651184,480.25,1.0,127040,0,0,0.0002,64.0,,,,
srht,linear,srht,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.40166667103767395,0.41200000047683716,-0.0385940745472908,0.658215150449695,0.028,0.41200000047683716,0.3973333239555359,0.35866665840148926,0.30399999022483826,0.25,0.1666666716337204,0.3739999830722809,0.31333333253860474,0.23666666448116302,0.4113333225250244,0.4099999964237213,0.41200000047683716,0.414000004529953,0.40799999237060547,0.31933334469795227,1504.0,1.0,389120,0,0,1.0,64.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7116667032241821,0.7086666822433472,0.04609428718686104,0.989843386812098,0.029,0.7080000042915344,0.690666675567627,0.6179999709129333,0.5226666331291199,0.43666666746139526,0.3086666762828827,0.6599999666213989,0.5573333501815796,0.421999990940094,0.7133333086967468,0.7120000123977661,0.7093333005905151,0.7080000042915344,0.6919999718666077,0.46933332085609436,1504.0,1.0,389120,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7133333683013916,0.7073333263397217,0.04596201702952385,0.9892777890449261,0.024,0.7139999866485596,0.6893333196640015,0.6166666746139526,0.5273333191871643,0.43533334136009216,0.3059999942779541,0.6506666541099548,0.547333300113678,0.42399999499320984,0.7106666564941406,0.7059999704360962,0.7066666483879089,0.6973333358764648,0.6826666593551636,0.4673333168029785,1504.0,1.0,389120,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7041667103767395,0.6946666836738586,0.008011089637875557,0.6881166234693237,0.047,0.6973333358764648,0.6793333292007446,0.593999981880188,0.5066666603088379,0.42533332109451294,0.28999999165534973,0.6433333158493042,0.5346666574478149,0.3866666555404663,0.6706666350364685,0.625333309173584,0.5566666722297668,0.4346666634082794,0.20733332633972168,0.058666665107011795,1520.0,32.0,389120,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.4866666793823242,0.5173333287239075,0.0007018423057161272,0.0032500694254692553,0.039,0.49933332204818726,0.46000000834465027,0.39399999380111694,0.30266666412353516,0.20733332633972168,0.07999999821186066,0.43666666746139526,0.343999981880188,0.2213333249092102,0.41600000858306885,0.3726666569709778,0.2893333435058594,0.17800000309944153,0.09266666322946548,0.04333333298563957,1504.5,1.0,389120,0,0,,,,,,
