spec,family,rp,out,preproc,extractor,params,spec_sim,codec,task,seed,dim,F,C,epochs,sim,weight,multi,proto_bits,quant_train,val_acc,id_acc,margin_id,geom_fid,fit_s,mem_kb,vec_bits,ops_per_query,ext_bits,ext_ops,rp_density,rp_rank,acc_shift_6,margin_ood,acc_shift_12,acc_shift_18
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,linear,2,1024,64,30,30,cosine,uniform,1,32,0,1.0,0.9959999918937683,0.41881081461906433,0.7187694717951977,0.287,376.5,1.0,97408,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,linear,2,1024,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.9940000176429749,0.24987410008907318,0.9364643794579691,0.036,376.0,1.0,97280,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,2,2048,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9973333477973938,0.25447311997413635,0.9667379535882544,0.01,752.0,1.0,194560,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,linear,2,2048,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.996666669845581,0.25304168462753296,0.9653502292123474,0.01,752.0,1.0,194560,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,linear,2,2048,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.996666669845581,0.2543145418167114,0.9650821304121403,0.01,302.96,1.0,79606,0,0,0.123,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,linear,2,2048,64,30,30,cosine,uniform,1,32,0,0.9600000381469727,0.968666672706604,0.003039383562281728,0.6670415024933187,0.011,240.25,1.0,63552,0,0,0.0005,64.0,,,,
srht,linear,srht,bipolar,none,raw,,,,linear,2,2048,64,30,30,cosine,uniform,1,32,0,0.9466667175292969,0.9446666836738586,0.19416816532611847,0.6575948633594622,0.01,752.0,1.0,194560,0,0,1.0,64.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,linear,2,2048,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.9973333477973938,0.25806570053100586,0.9798957033082627,0.017,752.0,1.0,194560,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,linear,2,2048,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.25629159808158875,0.9779038379329827,0.031,752.0,1.0,194560,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,linear,2,2048,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9973333477973938,0.13631610572338104,0.6573640151032353,0.032,760.0,32.0,194560,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,linear,2,2048,64,30,30,cosine,uniform,1,32,0,0.9816666841506958,0.984666645526886,0.07479652762413025,0.04872705036343386,0.026,752.25,1.0,194560,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,linear,2,2048,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9973333477973938,0.41870126128196716,0.7266070623772002,0.337,752.5,1.0,194688,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,linear,2,2048,64,30,30,cosine,uniform,1,32,0,0.9958333373069763,0.9973333477973938,0.25458765029907227,0.96702119680833,0.033,752.0,1.0,194560,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9973333477973938,0.25736841559410095,0.982928383725162,0.016,1504.0,1.0,389120,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9973333477973938,0.2560971975326538,0.9824883008959844,0.015,1504.0,1.0,389120,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9973333477973938,0.25694912672042847,0.9808233827714359,0.015,607.18,1.0,159534,0,0,0.1242,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9616667032241821,0.9693333506584167,0.001509458408690989,0.6670415024933187,0.015,480.25,1.0,127040,0,0,0.0002,64.0,,,,
srht,linear,srht,bipolar,none,raw,,,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9516667127609253,0.9593333005905151,0.20305880904197693,0.6594738552557546,0.017,1504.0,1.0,389120,0,0,1.0,64.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.9979999661445618,0.2580113708972931,0.9896958529894296,0.033,1504.0,1.0,389120,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9973333477973938,0.2570946514606476,0.989014097612927,0.038,1504.0,1.0,389120,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.9946666359901428,0.147195965051651,0.6186398573425952,0.04,1520.0,32.0,389120,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9900000095367432,0.9900000095367432,0.07885070145130157,0.04926025194323552,0.033,1504.5,1.0,389120,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.996666669845581,0.41594767570495605,0.7312956203827194,0.309,1504.5,1.0,389248,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,linear,2,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9973333477973938,0.258340448141098,0.9834387206286146,0.063,1504.0,1.0,389120,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,fine,0,32,64,30,30,cosine,uniform,1,32,0,0.17083333432674408,0.14133332669734955,-0.1690613031387329,0.4733823824195656,0.012,11.75,1.0,3040,0,0,1.0,32.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,fine,0,32,64,30,30,cosine,uniform,1,32,0,0.17000000178813934,0.1860000044107437,-0.20689444243907928,0.4339107615867411,0.009,11.75,1.0,3040,0,0,1.0,32.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,fine,0,32,64,30,30,cosine,uniform,1,32,0,0.15916666388511658,0.1446666717529297,-0.2260269969701767,0.45083373999070875,0.009,4.75,1.0,1248,0,0,0.125,32.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,fine,0,32,64,30,30,cosine,uniform,1,32,0,0.1341666728258133,0.1353333294391632,-0.22683170437812805,0.4227140782625408,0.009,4.0,1.0,1056,0,0,0.0312,28.0,,,,
srht,linear,srht,bipolar,none,raw,,,,fine,0,32,64,30,30,cosine,uniform,1,32,0,0.16500000655651093,0.1626666635274887,-0.22809724509716034,0.40319473678412604,0.009,11.75,1.0,3040,0,0,1.0,26.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,fine,0,32,64,30,30,cosine,uniform,1,32,0,0.15000000596046448,0.18733333051204681,-0.18205560743808746,0.4725601296653314,0.009,11.75,1.0,3040,0,0,1.0,32.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,fine,0,32,64,30,30,cosine,uniform,1,32,0,0.12916666269302368,0.14533333480358124,-0.2396175116300583,0.42758738550082886,0.01,11.75,1.0,3040,0,0,1.0,32.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,fine,0,32,64,30,30,cosine,uniform,1,32,0,0.15666666626930237,0.1693333387374878,-0.09830375015735626,0.34069723587604234,0.04,11.88,32.0,3040,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,fine,0,32,64,30,30,cosine,uniform,1,32,0,0.03750000149011612,0.041999999433755875,-0.29930776357650757,0.009793855132892656,0.035,11.75,1.0,3040,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,fine,0,32,64,30,30,cosine,uniform,1,32,0,0.4950000047683716,0.4846666753292084,-0.011005833745002747,0.40530143602544355,0.309,12.25,1.0,3168,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,fine,0,32,64,30,30,cosine,uniform,1,32,0,0.1808333396911621,0.15600000321865082,-0.20737212896347046,0.41163560632899343,0.014,11.75,1.0,3040,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,fine,0,64,64,30,30,cosine,uniform,1,32,0,0.29666668176651,0.2933333218097687,-0.06745372712612152,0.5908831546459948,0.01,23.5,1.0,6080,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,fine,0,64,64,30,30,cosine,uniform,1,32,0,0.3308333456516266,0.33933332562446594,-0.0711350217461586,0.5485742233842379,0.01,23.5,1.0,6080,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,fine,0,64,64,30,30,cosine,uniform,1,32,0,0.3216666877269745,0.31466665863990784,-0.0850415825843811,0.578546330671378,0.009,9.5,1.0,2495,0,0,0.1248,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,fine,0,64,64,30,30,cosine,uniform,1,32,0,0.210833340883255,0.22466666996479034,-0.14010611176490784,0.5112496122656929,0.011,7.75,1.0,2048,0,0,0.0156,40.0,,,,
srht,linear,srht,bipolar,none,raw,,,,fine,0,64,64,30,30,cosine,uniform,1,32,0,0.2574999928474426,0.2446666657924652,-0.12683622539043427,0.4856959775802758,0.009,23.5,1.0,6080,0,0,1.0,41.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,fine,0,64,64,30,30,cosine,uniform,1,32,0,0.4000000059604645,0.4020000100135803,-0.0386979766190052,0.6619547042974608,0.009,23.5,1.0,6080,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,fine,0,64,64,30,30,cosine,uniform,1,32,0,0.2658333480358124,0.28333333134651184,-0.08783402293920517,0.5615226460047192,0.011,23.5,1.0,6080,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,fine,0,64,64,30,30,cosine,uniform,1,32,0,0.2958333492279053,0.3086666762828827,-0.01878931373357773,0.3937013950369979,0.035,23.75,32.0,6080,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,fine,0,64,64,30,30,cosine,uniform,1,32,0,0.03500000014901161,0.03799999877810478,-0.1539601981639862,0.002951952355561472,0.034,23.51,1.0,6080,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,fine,0,64,64,30,30,cosine,uniform,1,32,0,0.5916666984558105,0.609333336353302,0.03811689466238022,0.4878743184492382,0.292,24.0,1.0,6208,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,fine,0,64,64,30,30,cosine,uniform,1,32,0,0.3199999928474426,0.3226666748523712,-0.07723736763000488,0.5480268904047675,0.014,23.5,1.0,6080,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,fine,0,128,64,30,30,cosine,uniform,1,32,0,0.42000001668930054,0.4153333306312561,-0.027842730283737183,0.7052118200829429,0.01,47.0,1.0,12160,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,fine,0,128,64,30,30,cosine,uniform,1,32,0,0.4833333492279053,0.4846666753292084,-0.011569666676223278,0.6820374393129216,0.009,47.0,1.0,12160,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,fine,0,128,64,30,30,cosine,uniform,1,32,0,0.46416667103767395,0.4493333399295807,-0.01636453904211521,0.7005060243565043,0.015,19.08,1.0,5012,0,0,0.1274,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,fine,0,128,64,30,30,cosine,uniform,1,32,0,0.31833332777023315,0.3386666774749756,-0.029497914016246796,0.590297232909479,0.01,15.25,1.0,4032,0,0,0.0078,52.0,,,,
srht,linear,srht,bipolar,none,raw,,,,fine,0,128,64,30,30,cosine,uniform,1,32,0,0.3841666877269745,0.3933333158493042,-0.045889586210250854,0.5616029079889147,0.009,47.0,1.0,12160,0,0,1.0,59.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,fine,0,128,64,30,30,cosine,uniform,1,32,0,0.5099999904632568,0.49666666984558105,-0.0030735633336007595,0.7797531134453347,0.01,47.0,1.0,12160,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,fine,0,128,64,30,30,cosine,uniform,1,32,0,0.44083333015441895,0.4580000042915344,-0.01318866852670908,0.7033662784561273,0.011,47.0,1.0,12160,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,fine,0,128,64,30,30,cosine,uniform,1,32,0,0.4325000047683716,0.45333331823349,-0.08193304389715195,0.4976011954040453,0.039,47.5,32.0,12160,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,fine,0,128,64,30,30,cosine,uniform,1,32,0,0.06333333253860474,0.07400000095367432,-0.055745381861925125,0.004024467176177062,0.035,47.02,1.0,12160,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,fine,0,128,64,30,30,cosine,uniform,1,32,0,0.67166668176651,0.6579999923706055,0.05987359583377838,0.5731818870382642,0.288,47.5,1.0,12288,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,fine,0,128,64,30,30,cosine,uniform,1,32,0,0.445000022649765,0.4633333384990692,-0.015795046463608742,0.6871280332702105,0.015,47.0,1.0,12160,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.5616666674613953,0.5619999766349792,0.00877720583230257,0.8148260380545594,0.01,94.0,1.0,24320,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.5716666579246521,0.5419999957084656,0.008885430172085762,0.8003147171035393,0.009,94.0,1.0,24320,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.5641666650772095,0.5413333177566528,0.006157421041280031,0.8087947188812131,0.009,38.06,1.0,10000,0,0,0.126,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.398333340883255,0.37466666102409363,-0.006233959924429655,0.6294001249111429,0.009,30.25,1.0,8000,0,0,0.0039,59.0,,,,
srht,linear,srht,bipolar,none,raw,,,,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.4208333492279053,0.40533334016799927,-0.03612089157104492,0.6028786377100535,0.01,94.0,1.0,24320,0,0,1.0,64.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.5975000262260437,0.5740000009536743,0.012915026396512985,0.8689591144425444,0.01,94.0,1.0,24320,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.5850000381469727,0.5826666355133057,0.014133600518107414,0.8358610801537655,0.011,94.0,1.0,24320,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.47333335876464844,0.4713333249092102,-0.014782304875552654,0.5868774272191383,0.038,95.0,32.0,24320,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.1274999976158142,0.12333333492279053,-0.021655192598700523,0.0024403540863149518,0.037,94.03,1.0,24320,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.7075000405311584,0.6980000138282776,0.07489822059869766,0.6267509245606379,0.287,94.5,1.0,24448,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.5358333587646484,0.5379999876022339,0.004780785646289587,0.8014757923177772,0.016,94.0,1.0,24320,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,fine,0,512,64,30,30,cosine,uniform,1,32,0,0.6691666841506958,0.6639999747276306,0.031132373958826065,0.8906905843493854,0.008,188.0,1.0,48640,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,fine,0,512,64,30,30,cosine,uniform,1,32,0,0.6550000309944153,0.6413333415985107,0.028195932507514954,0.8850972202787667,0.009,188.0,1.0,48640,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,fine,0,512,64,30,30,cosine,uniform,1,32,0,0.6516667008399963,0.6439999938011169,0.026326347142457962,0.8858353745586225,0.009,76.0,1.0,19969,0,0,0.125,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,fine,0,512,64,30,30,cosine,uniform,1,32,0,0.39666667580604553,0.4113333225250244,-0.0016710190102458,0.6594491767229577,0.01,60.25,1.0,15936,0,0,0.002,64.0,,,,
srht,linear,srht,bipolar,none,raw,,,,fine,0,512,64,30,30,cosine,uniform,1,32,0,0.42500001192092896,0.398666650056839,-0.03646392747759819,0.6266241557893231,0.01,188.0,1.0,48640,0,0,1.0,64.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,fine,0,512,64,30,30,cosine,uniform,1,32,0,0.6608333587646484,0.6653333306312561,0.033560577780008316,0.9269217787538316,0.01,188.0,1.0,48640,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,fine,0,512,64,30,30,cosine,uniform,1,32,0,0.659166693687439,0.6546666622161865,0.03134273365139961,0.9120026241774889,0.011,188.0,1.0,48640,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,fine,0,512,64,30,30,cosine,uniform,1,32,0,0.6850000023841858,0.6806666851043701,0.006648008245974779,0.6598324377950866,0.037,190.0,32.0,48640,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,fine,0,512,64,30,30,cosine,uniform,1,32,0,0.14083333313465118,0.1393333375453949,-0.09128106385469437,-0.0003637256399455771,0.034,188.06,1.0,48640,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,fine,0,512,64,30,30,cosine,uniform,1,32,0,0.7083333730697632,0.7080000042915344,0.07793492823839188,0.6647507539801764,0.289,188.5,1.0,48768,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,fine,0,512,64,30,30,cosine,uniform,1,32,0,0.6458333730697632,0.6660000085830688,0.03065994195640087,0.8878453406850617,0.018,188.0,1.0,48640,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.7008333206176758,0.6959999799728394,0.0404355563223362,0.9384927333913473,0.009,376.0,1.0,97280,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.7041667103767395,0.6913333535194397,0.038645680993795395,0.9371799196366407,0.008,376.0,1.0,97280,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.690833330154419,0.6853333115577698,0.03786417096853256,0.9386709840510917,0.009,152.26,1.0,40002,0,0,0.126,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.3891666829586029,0.3959999978542328,-0.0009135327418334782,0.6609481706584969,0.011,120.25,1.0,31808,0,0,0.001,64.0,,,,
srht,linear,srht,bipolar,none,raw,,,,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.4191666841506958,0.4339999854564667,-0.029241638258099556,0.6415107026062534,0.012,376.0,1.0,97280,0,0,1.0,64.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.690833330154419,0.699999988079071,0.04233204945921898,0.9613813696740964,0.011,376.0,1.0,97280,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.6958333253860474,0.6833333373069763,0.04125048965215683,0.9573902408617637,0.011,376.0,1.0,97280,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.7100000381469727,0.6899999976158142,0.007400946691632271,0.6680543725613959,0.039,380.0,32.0,97280,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.23666667938232422,0.2786666750907898,-0.007144138216972351,0.0036039096822823823,0.035,376.12,1.0,97280,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.7266666889190674,0.7120000123977661,0.08079048246145248,0.6872848720327202,0.301,376.5,1.0,97408,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.6766666769981384,0.6899999976158142,0.038927800953388214,0.9375654712457889,0.023,376.0,1.0,97280,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,fine,0,2048,64,30,30,cosine,uniform,1,32,0,0.7141667008399963,0.7006666660308838,0.04478744789958,0.968030441992365,0.012,752.0,1.0,194560,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,fine,0,2048,64,30,30,cosine,uniform,1,32,0,0.7175000309944153,0.7093333005905151,0.04330325871706009,0.9673373130661391,0.011,752.0,1.0,194560,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,fine,0,2048,64,30,30,cosine,uniform,1,32,0,0.7041667103767395,0.7026666402816772,0.04164371266961098,0.9656667588999832,0.012,305.16,1.0,80170,0,0,0.1273,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,fine,0,2048,64,30,30,cosine,uniform,1,32,0,0.43833333253860474,0.4386666715145111,-0.00028992979787290096,0.658089352842885,0.019,240.25,1.0,63552,0,0,0.0005,64.0,,,,
srht,linear,srht,bipolar,none,raw,,,,fine,0,2048,64,30,30,cosine,uniform,1,32,0,0.42000001668930054,0.4026666581630707,-0.03789045289158821,0.6539767679194671,0.016,752.0,1.0,194560,0,0,1.0,64.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,fine,0,2048,64,30,30,cosine,uniform,1,32,0,0.7091667056083679,0.6973333358764648,0.04426997900009155,0.9802019567355136,0.021,752.0,1.0,194560,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,fine,0,2048,64,30,30,cosine,uniform,1,32,0,0.6983333230018616,0.699999988079071,0.04433625191450119,0.9787510540929408,0.027,752.0,1.0,194560,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,fine,0,2048,64,30,30,cosine,uniform,1,32,0,0.7083333730697632,0.7006666660308838,0.00785132497549057,0.6849917381385723,0.05,760.0,32.0,194560,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,fine,0,2048,64,30,30,cosine,uniform,1,32,0,0.4025000035762787,0.4193333387374878,-0.0016588035505264997,0.004121529990771001,0.036,752.25,1.0,194560,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,fine,0,2048,64,30,30,cosine,uniform,1,32,0,0.73416668176651,0.7160000205039978,0.08317648619413376,0.6980544322622529,0.336,752.5,1.0,194688,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,fine,0,2048,64,30,30,cosine,uniform,1,32,0,0.7133333683013916,0.6980000138282776,0.044604573398828506,0.9678705923250058,0.034,752.0,1.0,194560,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7233333587646484,0.7133333086967468,0.04650498926639557,0.9832824817403812,0.018,1504.0,1.0,389120,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7175000309944153,0.7160000205039978,0.04504237696528435,0.9827790738197664,0.017,1504.0,1.0,389120,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7166666984558105,0.7026666402816772,0.04461946710944176,0.9817721777158964,0.017,609.3,1.0,160077,0,0,0.1263,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.4000000059604645,0.43533334136009216,-0.000134721165522933,0.6609481706584969,0.024,480.25,1.0,127040,0,0,0.0002,64.0,,,,
srht,linear,srht,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.40166667103767395,0.41200000047683716,-0.0385940745472908,0.658215150449695,0.025,1504.0,1.0,389120,0,0,1.0,64.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7116667032241821,0.7086666822433472,0.04609428718686104,0.989843386812098,0.034,1504.0,1.0,389120,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7133333683013916,0.7073333263397217,0.04596201702952385,0.9892777890449261,0.034,1504.0,1.0,389120,0,0,1.0,64.0,,,,
