spec,family,rp,out,preproc,extractor,params,spec_sim,codec,task,seed,dim,F,C,epochs,sim,weight,multi,proto_bits,quant_train,val_acc,id_acc,margin_id,geom_fid,fit_s,acc_shift_6,margin_ood,acc_shift_12,acc_shift_18,mem_kb,vec_bits,ops_per_query,ext_bits,ext_ops,bw
rff_bipolar_b0.1,rff,rff,bipolar,none,raw,"{""bw_scale"": 0.1}",,,shift,2,2048,64,30,30,cosine,uniform,1,32,0,0.7066667079925537,0.7246666550636292,0.022453634068369865,0.06526461124313661,0.024,0.09866666793823242,-0.031210901215672493,0.041333332657814026,0.029999999329447746,760.0,32.0,194560,0,0,0.1
rff_real_b0.25,rff,rff,real,none,raw,"{""bw_scale"": 0.25}",,,shift,2,2048,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.9959999918937683,0.1417180746793747,0.5548897759570862,0.024,0.8899999856948853,0.045212555676698685,0.21133333444595337,0.05533333122730255,760.0,32.0,194560,0,0,0.25
rff_bipolar_b0.25,rff,rff,bipolar,none,raw,"{""bw_scale"": 0.25}",,,shift,2,2048,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.9959999918937683,0.1417180746793747,0.5548897759570862,0.024,0.8899999856948853,0.045212555676698685,0.21133333444595337,0.05533333122730255,760.0,32.0,194560,0,0,0.25
rff_real_b0.5,rff,rff,real,none,raw,"{""bw_scale"": 0.5}",,,shift,2,2048,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9973333477973938,0.13631610572338104,0.6573640151032353,0.025,0.9446666836738586,0.07083453983068466,0.671999990940094,0.23199999332427979,760.0,32.0,194560,0,0,0.5
rff_bipolar_b0.5,rff,rff,bipolar,none,raw,"{""bw_scale"": 0.5}",,,shift,2,2048,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9973333477973938,0.13631610572338104,0.6573640151032353,0.024,0.9446666836738586,0.07083453983068466,0.671999990940094,0.23199999332427979,760.0,32.0,194560,0,0,0.5
rff_real_b1.0,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,,shift,2,2048,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.996666669845581,0.0946643054485321,0.6707433870510271,0.025,0.9446666836738586,0.059934936463832855,0.7120000123977661,0.4933333396911621,760.0,32.0,194560,0,0,1.0
rff_bipolar_b1.0,rff,rff,bipolar,none,raw,"{""bw_scale"": 1.0}",,,shift,2,2048,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.996666669845581,0.0946643054485321,0.6707433870510271,0.025,0.9446666836738586,0.059934936463832855,0.7120000123977661,0.4933333396911621,760.0,32.0,194560,0,0,1.0
rff_real_b2.0,rff,rff,real,none,raw,"{""bw_scale"": 2.0}",,,shift,2,2048,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.996666669845581,0.05582822486758232,0.6746192057468805,0.025,0.9446666836738586,0.03899437561631203,0.699999988079071,0.46933332085609436,760.0,32.0,194560,0,0,2.0
rff_bipolar_b2.0,rff,rff,bipolar,none,raw,"{""bw_scale"": 2.0}",,,shift,2,2048,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.996666669845581,0.05582822486758232,0.6746192057468805,0.025,0.9446666836738586,0.03899437561631203,0.699999988079071,0.46933332085609436,760.0,32.0,194560,0,0,2.0
rff_real_b4.0,rff,rff,real,none,raw,"{""bw_scale"": 4.0}",,,shift,2,2048,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.996666669845581,0.030327651649713516,0.676793931916767,0.025,0.9433333277702332,0.02230129949748516,0.6926666498184204,0.4346666634082794,760.0,32.0,194560,0,0,4.0
rff_bipolar_b4.0,rff,rff,bipolar,none,raw,"{""bw_scale"": 4.0}",,,shift,2,2048,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.996666669845581,0.030327651649713516,0.676793931916767,0.025,0.9433333277702332,0.022301306948065758,0.6926666498184204,0.4346666634082794,760.0,32.0,194560,0,0,4.0
